,text,onset,offset
638,est,205.87,205.96
639,tout,205.96,206.09
640,petit,206.09,206.61
641,,206.61,207.07
642,J',207.07,207.19
643,ai,207.19,207.28
644,trois,207.28,207.55
645,volcans,207.55,208.01
646,,208.01,208.35
647,Deux,208.35,208.54
648,volcans,208.54,209.0
649,en,209.0,209.07
650,activité,209.07,209.82
651,,209.82,210.09
652,et,210.09,210.18
653,un,210.18,210.34
654,volcan,210.34,210.73
655,éteint,210.73,211.09
656,,211.09,211.5
657,Mais,211.5,211.76
658,on,211.76,211.89
659,ne,211.89,211.95
660,sait,211.95,212.15
661,jamais,212.15,212.5
662,,212.5,213.23
663,On,213.23,213.43
664,ne,213.43,213.53
665,sait,213.53,213.78
666,jamais,213.78,214.18
667,,214.18,214.74
668,dit,214.74,214.97
669,le,214.97,215.02
670,géographe,215.02,215.68
671,,215.68,216.5
672,J',216.5,216.64
673,ai,216.64,216.74
674,aussi,216.74,217.13
675,une,217.13,217.37
676,fleur,217.37,217.94
677,,217.94,218.7
678,Nous,218.7,218.9
679,ne,218.9,218.97
680,,218.97,219.06
681,notons,219.06,219.54
682,pas,219.54,219.74
683,les,219.74,219.91
684,fleurs,219.91,220.43
685,,220.43,220.85
686,dit,220.85,221.04
687,le,221.04,221.18
688,géographe,221.18,221.92
689,,221.92,222.74
690,Pourquoi,222.74,223.1
691,ça,223.1,223.43
692,,223.43,223.69
693,c',223.69,223.81
694,est,223.81,223.97
695,le,223.97,224.0
696,plus,224.0,224.14
697,joli,224.14,224.65
698,,224.65,225.61
699,Parce,225.61,225.92
700,que,225.92,226.01
701,les,226.01,226.2
702,fleurs,226.2,226.64
703,sont,226.64,226.95
704,éphémères,226.95,227.64
705,,227.64,228.47
706,Qu',228.47,228.61
707,est,228.61,228.7
708,-ce,228.7,228.78
709,que,228.78,228.87
710,signifie,228.87,229.47
711,éphémère,229.47,230.21
712,,230.21,231.23
713,Les,231.23,231.47
714,géographies,231.47,232.31
715,,232.31,232.48
716,dit,232.48,232.72
717,le,232.72,232.83
718,géographe,232.83,233.54
719,,233.54,234.08
720,sont,234.08,234.27
721,les,234.27,234.44
722,livres,234.44,234.8
723,les,234.8,234.95
724,plus,234.95,235.42
725,précieux,235.42,236.02
726,de,236.02,236.2
727,tous,236.2,236.54
728,les,236.54,236.7
729,livres,236.7,237.22
730,,237.22,237.83
731,Elles,237.83,238.03
732,ne,238.03,238.11
733,se,238.11,238.31
734,démodent,238.31,238.83
735,jamais,238.83,239.55
736,,239.55,240.04
737,Il,240.04,240.21
738,est,240.21,240.35
739,très,240.35,240.65
740,rare,240.65,241.09
